city	price
Seattle	99
Seattle	140
Seattle	125
Seattle	115
Seattle	85
Seattle	70
Seattle	80
Seattle	100
Seattle	95
Seattle	77
Seattle	250
Seattle	75
Seattle	125
Seattle	123
Seattle	239
Seattle	60
Seattle	108
Seattle	50
Seattle	125
Seattle	150
Seattle	249
Seattle	95
Seattle	140
Seattle	59
Seattle	98
Seattle	108
Seattle	180
Seattle	149
Seattle	130
Seattle	160
Seattle	239
Seattle	350
Seattle	120
Seattle	79
Seattle	100
Seattle	299
Seattle	250
Seattle	150
Seattle	180
Seattle	225
Seattle	180
Seattle	75
Seattle	155
Seattle	199
Seattle	200
Seattle	199
Seattle	80
Seattle	170
Seattle	85
Seattle	98
Seattle	100
Seattle	300
Seattle	63
Seattle	156
Seattle	149
Seattle	159
Seattle	159
Seattle	189
Seattle	159
Seattle	89
Seattle	149
Seattle	149
Seattle	79
Seattle	50
Seattle	259
Seattle	258
Seattle	175
Seattle	179
Seattle	150
Seattle	89
Seattle	43
Seattle	120
Seattle	100
Seattle	90
Seattle	125
Seattle	199
Seattle	210
Seattle	210
Seattle	179
Seattle	200
Seattle	299
Seattle	200
Seattle	85
Seattle	159
Seattle	165
Seattle	99
Seattle	175
Seattle	150
Seattle	186
Seattle	275
Seattle	144
Seattle	75
Seattle	150
Seattle	159
Seattle	150
Seattle	140
Seattle	135
Seattle	135
Seattle	62
Seattle	75
Seattle	78
Seattle	122
Seattle	140
Seattle	125
Seattle	128
Seattle	79
Seattle	155
Seattle	144
Seattle	180
Seattle	60
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	60
Seattle	65
Seattle	99
Seattle	150
Seattle	150
Seattle	155
Seattle	71
Seattle	60
Seattle	80
Seattle	175
Seattle	120
Seattle	150
Seattle	150
Seattle	70
Seattle	200
Seattle	87
Seattle	144
Seattle	85
Seattle	139
Seattle	179
Seattle	179
Seattle	179
Seattle	150
Seattle	100
Seattle	85
Seattle	85
Seattle	95
Seattle	150
Seattle	105
Seattle	259
Seattle	195
Seattle	135
Seattle	121
Seattle	300
Seattle	199
Seattle	199
Seattle	199
Seattle	199
Seattle	299
Seattle	222
Seattle	222
Seattle	222
Seattle	300
Seattle	115
Seattle	115
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	160
Seattle	80
Seattle	79
Seattle	78
Seattle	85
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	149
Seattle	80
Seattle	120
Seattle	120
Seattle	95
Seattle	200
Seattle	119
Seattle	195
Seattle	140
Seattle	179
Seattle	130
Seattle	120
Seattle	89
Seattle	80
Seattle	80
Seattle	209
Seattle	119
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	1002
Seattle	100
Seattle	200
Seattle	108
Seattle	175
Seattle	175
Seattle	175
Seattle	175
Seattle	200
Seattle	102
Seattle	85
Seattle	149
Seattle	149
Seattle	67
Seattle	200
Seattle	75
Seattle	275
Seattle	75
Seattle	99
Seattle	140
Seattle	180
